Associated with;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;Associated with;Overall file decorastors 2
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\effects\app.effects.ts;5,0;11,111;0,238;6,927;4939,301;127,0;274,406;49,0;713,068;41,0;71,0;"['JIGSAW', 'ANTI-JIGSAW', 'JIGSAW2'],""puzzleAlgorithmType"",AppEffects,PuzzleMock,""toBack"",""imageGallery"",actions$,""AND"",""changePuzzleOrdering"",""zoomCoordinates"",""imageLoader"",""preview"",""base"",pipe,""boarderPicture"",map,ofType,_,puzzles,""zoomValue"",constructor,""showPositionOnBoard"",""OR"",""rotate"",""puzzleNavigation"",""true"",""multiplePuzzleSelect"",init$,loadPuzzles,""moveableOnPuzzleBoard"",""reset"",""mainPage"",""toFront"",""returnItem"",createEffect,""puzzleDrawer"",ROOT_EFFECTS_INIT,""randomAngleRotation"",""zoom"",""mainNavigation"",base";8,0;56,0;(),{},function=>,this,:,if,class,.;13,0;45,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\effects\app.effects.ts;1
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"TestBed,""should be created"",beforeEach,expect,configureTestingModule,""DecoratorTypesService"",service,toBeTruthy,DecoratorTypesService,describe,it,inject";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.ts;15,0;71,429;0,116;7,941;2762,224;78,0;153,457;22,0;347,836;17,0;54,0;propertyKey,skipLineVariableDeclaration,wholeBlockMethod,constructor,wholeBlockFile,skipLineParameter,descriptor,wholeInitialization,skipLineFile,target,null,skipLineClassVariableDeclaration,DecoratorTypesService,arg0,commentedLine,parameterIndex,key;5,0;24,0;static,function=>,class,=,return;31,0;21,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"TestBed,""should be created"",beforeEach,expect,configureTestingModule,""ServiceToSkipService"",service,toBeTruthy,ServiceToSkipService,describe,it,inject";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.ts;2,0;100,0;0,002;0,5;2,377;3,0;0,132;3,0;4,755;2,0;2,0;ServiceToSkipService,constructor;1,0;1,0;class;5,0;2,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\designPatternsModels\decorator.ts;1,0;0,0;0,003;0,0;0,0;4,0;0,0;4,0;8,0;4,0;4,0;Decorator,getDecorated,decorated,setDecorated;0,0;0,0;;5,0;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\designPatternsModels\decorator.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\feature-config-loader.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"TestBed,""should be created"",beforeEach,expect,""FeatureConfigLoaderService"",configureTestingModule,service,toBeTruthy,describe,it,FeatureConfigLoaderService,inject";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config-loader.service.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\feature-config-loader.service.ts;14,0;56,0;0,243;23,719;17277,955;126,0;959,886;55,0;728,451;32,0;66,0;",""focus"",getFeatureConfig,""!"",data,log,""single"",functionalityMapping,get,featureConfig,""object"",jsonObject,FeatureConfigLoaderService,value,""implemented"",key,httpClient,console,""method"",""service"",subscribe,""type"",constructor,keyName,parseConfig,""include"",call,entries,null,Object,""Applying functionalityMapping for Feature "",""/assets/featureConfig/featureConfig.json""";23,0;60,0;&&,||,(),!==,[],static,const,in,this,typeof (prefix),+,,,.,forof,else,continue,function=>,let,class,=,if,===,return;39,0;25,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config-loader.service.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\feature-config.ts;1,0;0,556;1,15;13,292;45865,366;549,0;2548,076;78,0;3450,686;72,0;319,0;"focus,""puzzleAlgorithmType"",""modelLoader"",""zoomManagement"",""square"",""shuffleByRandomAngle"",""strategy"",""includeOptions"",""ANTI-JIGSAW"",""puzzleToPlay"",""toBack"",""enebaleReset"",""imageGallery"",""item"",""appNavigation"",""textureLoader"",""bevelItem"",""imageLoader"",""publishedDesigns"",featureConfig,""gameStatistics"",""applicationCore"",""multi"",""availableOptions"",""implemented"",""url"",""possibleTypes3DCover"",""zoomValue"",""borderingBoardAreas"",""deleteItem"",""selectable"",""showPositionOnBoard"",""enableChoosingZoomPoint"",""designGallery"",""jigsaw"",""mainPage"",true,""scaleItem"",""zoom"",""environmentModule"",""possibleTypesPuzzle"",""mainNavigation"","""",""multi-value"",""translateItem"",""3Dzoom"",""preview3D"",""design3DCover"",""all"",""zoomCoordinates"",""shuffleItems"",""square|circle|text|polygon|triangle|image"",""JIGSAW2"",""designTo3DMapper"",""data"",""type"",false,""toOmitCompletely"",""JIGSAW"",""include"",""canMoveOnBoard"",""rotateItem"",""toFront"",""returnItem"",""enableSettingValue"",""designBoard"",""showPositionOn3D"",""puzzle"",""changeOrderOfItems"",""cloneItem"",""controls"",""navigation""";6,0;230,0;{},[],let,:,,,=;225,0;180,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\management-services\menu-manager.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"TestBed,""should be created"",beforeEach,expect,configureTestingModule,""MenuManagerService"",service,MenuManagerService,toBeTruthy,describe,it,inject";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\management-services\menu-manager.service.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\management-services\menu-manager.service.ts;23,0;28,395;0,842;46,919;118517,795;441,0;6584,322;53,0;2526,013;37,0;217,0;"aop,serviceArguments,callArguments,unAop,serviceContext,hookName,bringToFrontService,bringToBackService,menuManageHook,context,menuConfig,returnPuzzleService,MenuManagerService,false,constructor,createHook,initializeHint,""include"",callArguemnts,createdHook,PuzzleControllerManagerService2,helpPuzzleService,aroundMethod,args,0,1,2,initializeBringToBack,3,null,""applyToMe"",PuzzleControllerManagerService,true,getArguments,initializeReturn,initializeBringToFront,""APPLY""";16,0;224,0;(),new,[],{},const,this,,,.,else,function=>,:,class,=,if,===,return;100,0;81,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\management-services\menu-manager.service.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\puzzle-algorithm-manager.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"TestBed,""should be created"",beforeEach,expect,""PuzzleAlgorithmManagerService"",PuzzleAlgorithmManagerService,configureTestingModule,service,toBeTruthy,describe,it,inject";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\puzzle-algorithm-manager.service.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\puzzle-algorithm-manager.service.ts;8,0;25,0;0,352;15,714;16590,406;181,0;921,689;57,0;1055,753;42,0;88,0;"puzzleAlgorithmHook,algorithms,""Anti jigsaw"",aop,drawBordersService2,log,""includeOptions"",""ANTI-JIGSAW"",PuzzleGeneratorQuadroService2,serviceContext,""Old jigsaw"",hookName,""name"",context,indexOf,""JIGSAW2"",newGameConfigurationService,console,""Old jigsaw 2"",constructor,createHook,""JIGSAW"",shufflePuzzlesService,store,""include"",setAlgorithms,push,""Initializing algorithm variants!"",aroundMethod,args,""AOP: Selecting new Puzzle algorithms!!!"",1,PuzzleAlgorithmManagerService,null,""applyToMe"",GameConfigurationService,""instance"",PuzzleGeneratorQuadroService,drawBordersService,true,initialize,config";15,0;93,0;(),new,[],{},const,- (prefix),this,.,function=>,:,class,=,if,>,return;52,0;32,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\puzzle-algorithm-manager.service.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\variable-settings-config.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"VariableSettingsConfigService,TestBed,""should be created"",beforeEach,expect,configureTestingModule,service,toBeTruthy,describe,VariableSettingsConfigService,it,inject";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\variable-settings-config.service.spec.ts;0
