Associated with;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;Associated with;Overall file decorastors 2
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\effects\app.effects.ts;11,0;25,0;0,293;7,451;6540,092;148,0;363,338;61,0;877,749;51,0;76,0;"['JIGSAW', 'ANTI-JIGSAW', 'JIGSAW2'],""puzzleAlgorithmType"",""layerOR4"",""toBack"",""imageGallery"",actions$,""changePuzzleOrdering"",""imageLoader"",""layerOR5"",""layerAND4"",pipe,ofType,puzzles,""zoomValue"",constructor,""showPositionOnBoard"",""rotate"",""puzzleNavigation"",""multiplePuzzleSelect"",""moveableOnPuzzleBoard"",""reset"",""mainPage"",""puzzleDrawer"",layerOR7,layerOR4,""randomAngleRotation"",layerOR5,""zoom"",""mainNavigation"",AppEffects,PuzzleMock,""layerOR7"",""zoomCoordinates"",""layerAND2"",""preview"",""layerAND6"",""boarderPicture"",map,_,layerAND3,layerAND2,""true"",layerAND4,init$,loadPuzzles,layerAND6,""returnItem"",""toFront"",createEffect,ROOT_EFFECTS_INIT,""layerAND3""";10,0;72,0;&&,||,(),{},function=>,this,:,if,class,.;15,0;44,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\effects\app.effects.ts;1
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"TestBed,""should be created"",beforeEach,expect,configureTestingModule,""DecoratorTypesService"",service,toBeTruthy,DecoratorTypesService,describe,it,inject";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.ts;15,0;71,429;0,116;7,941;2762,224;78,0;153,457;22,0;347,836;17,0;54,0;propertyKey,skipLineVariableDeclaration,wholeBlockMethod,constructor,wholeBlockFile,skipLineParameter,descriptor,wholeInitialization,skipLineFile,target,null,skipLineClassVariableDeclaration,DecoratorTypesService,arg0,commentedLine,parameterIndex,key;5,0;24,0;static,function=>,class,=,return;31,0;21,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"TestBed,""should be created"",beforeEach,expect,configureTestingModule,""ServiceToSkipService"",service,toBeTruthy,ServiceToSkipService,describe,it,inject";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.ts;2,0;100,0;0,002;0,5;2,377;3,0;0,132;3,0;4,755;2,0;2,0;ServiceToSkipService,constructor;1,0;1,0;class;5,0;2,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\designPatternsModels\decorator.ts;1,0;0,0;0,003;0,0;0,0;4,0;0,0;4,0;8,0;4,0;4,0;Decorator,getDecorated,decorated,setDecorated;0,0;0,0;;5,0;0,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\designPatternsModels\decorator.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\feature-config-loader.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"TestBed,""should be created"",beforeEach,expect,""FeatureConfigLoaderService"",configureTestingModule,service,toBeTruthy,describe,it,FeatureConfigLoaderService,inject";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config-loader.service.spec.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\feature-config-loader.service.ts;14,0;56,0;0,243;23,719;17277,955;126,0;959,886;55,0;728,451;32,0;66,0;",""focus"",getFeatureConfig,""!"",data,log,""single"",functionalityMapping,get,featureConfig,""object"",jsonObject,FeatureConfigLoaderService,value,""implemented"",key,httpClient,console,""method"",""service"",subscribe,""type"",constructor,keyName,parseConfig,""include"",call,entries,null,Object,""Applying functionalityMapping for Feature "",""/assets/featureConfig/featureConfig.json""";23,0;60,0;&&,||,(),!==,[],static,const,in,this,typeof (prefix),+,,,.,forof,else,continue,function=>,let,class,=,if,===,return;39,0;25,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config-loader.service.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\feature-config.ts;1,0;0,556;1,15;13,292;45865,366;549,0;2548,076;78,0;3450,686;72,0;319,0;"focus,""puzzleAlgorithmType"",""modelLoader"",""zoomManagement"",""square"",""shuffleByRandomAngle"",""strategy"",""includeOptions"",""ANTI-JIGSAW"",""puzzleToPlay"",""toBack"",""enebaleReset"",""imageGallery"",""item"",""appNavigation"",""textureLoader"",""bevelItem"",""imageLoader"",""publishedDesigns"",featureConfig,""gameStatistics"",""applicationCore"",""multi"",""availableOptions"",""implemented"",""url"",""possibleTypes3DCover"",""zoomValue"",""borderingBoardAreas"",""deleteItem"",""selectable"",""showPositionOnBoard"",""enableChoosingZoomPoint"",""designGallery"",""jigsaw"",""mainPage"",true,""scaleItem"",""zoom"",""environmentModule"",""possibleTypesPuzzle"",""mainNavigation"","""",""multi-value"",""translateItem"",""3Dzoom"",""preview3D"",""design3DCover"",""all"",""zoomCoordinates"",""shuffleItems"",""square|circle|text|polygon|triangle|image"",""JIGSAW2"",""designTo3DMapper"",""data"",""type"",false,""toOmitCompletely"",""JIGSAW"",""include"",""canMoveOnBoard"",""rotateItem"",""toFront"",""returnItem"",""enableSettingValue"",""designBoard"",""showPositionOn3D"",""puzzle"",""changeOrderOfItems"",""cloneItem"",""controls"",""navigation""";6,0;230,0;{},[],let,:,,,=;225,0;180,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\feature-config.ts;0
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\management-services\menu-manager.service.spec.ts;4,0;33,333;0,044;4,0;533,75;32,0;29,653;18,0;133,438;12,0;16,0;"TestBed,""should be created"",beforeEach,expect,configureTestingModule,""MenuManagerService"",service,MenuManagerService,toBeTruthy,describe,it,inject";6,0;16,0;(),{},function=>,let,=,.;13,0;12,0;FILE: E:\aspects\canvasSPLforSPA\canvasSPLforSPA\src\app\featureManagement\services\management-services\menu-manager.service.spec.ts;0
