"Form";"Complexity.name";"Statistics";"p.value"
"1";"Cycl..Number";"0.405609339895616";"5.69719785683683e-16"
"1";"Cycl..Density";"0.773651253406032";"1.80101224196926e-09"
"1";"Halstead.Bugs";"0.462686747508598";"3.34366102339215e-15"
"1";"Halstead.Difficulty";"0.422612477388634";"9.52232018797336e-16"
"1";"Halstead.Effort";"0.244331017089821";"6.98868289267001e-18"
"1";"Halstead.Length";"0.458986130877353";"2.96913313982964e-15"
"1";"Halstead.Time";"0.244331011031456";"6.98868183386496e-18"
"1";"Halstead.Vocabulary";"0.864367407686222";"8.65132409821967e-07"
"1";"Halstead.Volume";"0.462391279666494";"3.31202384350855e-15"
"1";"Halstead.Identifiers.Distinct";"0.855856967659464";"4.42608596174929e-07"
"1";"Halstead.Identifiers.Total";"0.468810945722171";"4.07544143123708e-15"
"1";"Halstead.Identifiers.Distinct.1";"0.873860680983979";"1.8812804229278e-06"
"1";"Halstead.Identifiers.Total.1";"0.450531266678763";"2.2683657870386e-15"
"1";"LOC.Physical";"0.61458331725493";"8.0685004365825e-13"
"1";"LOC.Logical";"0.635898535666828";"1.95977773933272e-12"
"1";"Overall.file.decorastors.2";"0.340564063889223";"8.77708055567405e-17"
"2";"Cycl..Number";"0.55230440179539";"7.25336669661668e-14"
"2";"Cycl..Density";"0.797669482457308";"7.72780057390859e-09"
"2";"Halstead.Bugs";"0.46468282519723";"3.56581071123329e-15"
"2";"Halstead.Difficulty";"0.426768205598228";"1.081427789479e-15"
"2";"Halstead.Effort";"0.262274797561543";"1.09909118187536e-17"
"2";"Halstead.Length";"0.463245966437276";"3.40440441293462e-15"
"2";"Halstead.Time";"0.262274789461149";"1.09909095518573e-17"
"2";"Halstead.Vocabulary";"0.839188349257816";"1.27051339567192e-07"
"2";"Halstead.Volume";"0.464389188343642";"3.53218911761556e-15"
"2";"Halstead.Identifiers.Distinct";"0.848967930968112";"2.61638758003148e-07"
"2";"Halstead.Identifiers.Total";"0.463522744609656";"3.43489292505482e-15"
"2";"Halstead.Identifiers.Distinct.1";"0.809515348796121";"1.65101821633656e-08"
"2";"Halstead.Identifiers.Total.1";"0.462912440262777";"3.36803911261198e-15"
"2";"LOC.Physical";"0.582856660781325";"2.29061083727449e-13"
"2";"LOC.Logical";"0.436186376922131";"1.44649407688719e-15"
"2";"Overall.file.decorastors.2";"0.340564063889223";"8.77708055567405e-17"
"3";"Cycl..Number";"0.43465850780536";"1.37949467114287e-15"
"3";"Cycl..Density";"0.667545012236882";"7.84370523068385e-12"
"3";"Halstead.Bugs";"0.469641696627369";"4.18687114939112e-15"
"3";"Halstead.Difficulty";"0.441781729746648";"1.72224846787616e-15"
"3";"Halstead.Effort";"0.263203919628546";"1.12541524925168e-17"
"3";"Halstead.Length";"0.468663207175258";"4.05595098502214e-15"
"3";"Halstead.Time";"0.26320391310231";"1.12541506206395e-17"
"3";"Halstead.Vocabulary";"0.839265227569479";"1.27761540586581e-07"
"3";"Halstead.Volume";"0.469337348836962";"4.14568450928337e-15"
"3";"Halstead.Identifiers.Distinct";"0.841104892590696";"1.4606307778622e-07"
"3";"Halstead.Identifiers.Total";"0.471939967153542";"4.51199505781162e-15"
"3";"Halstead.Identifiers.Distinct.1";"0.771880513814788";"1.62416598720305e-09"
"3";"Halstead.Identifiers.Total.1";"0.465177571550433";"3.62321591414261e-15"
"3";"LOC.Physical";"0.606228048108884";"5.75164878518013e-13"
"3";"LOC.Logical";"0.446452128165451";"1.99422576234155e-15"
"3";"Overall.file.decorastors.2";"0.340564063889223";"8.77708055567405e-17"
"4";"Cycl..Number";"0.55230440179539";"7.25336669661668e-14"
"4";"Cycl..Density";"0.797669482457308";"7.72780057390859e-09"
"4";"Halstead.Bugs";"0.46468282519723";"3.56581071123329e-15"
"4";"Halstead.Difficulty";"0.426768205598228";"1.081427789479e-15"
"4";"Halstead.Effort";"0.262274797561543";"1.09909118187536e-17"
"4";"Halstead.Length";"0.463245966437276";"3.40440441293462e-15"
"4";"Halstead.Time";"0.262274789461149";"1.09909095518573e-17"
"4";"Halstead.Vocabulary";"0.839188349257816";"1.27051339567192e-07"
"4";"Halstead.Volume";"0.464389188343642";"3.53218911761556e-15"
"4";"Halstead.Identifiers.Distinct";"0.848967930968112";"2.61638758003148e-07"
"4";"Halstead.Identifiers.Total";"0.463522744609656";"3.43489292505482e-15"
"4";"Halstead.Identifiers.Distinct.1";"0.809515348796121";"1.65101821633656e-08"
"4";"Halstead.Identifiers.Total.1";"0.462912440262777";"3.36803911261198e-15"
"4";"LOC.Physical";"0.603403774345664";"5.13569568170363e-13"
"4";"LOC.Logical";"0.436186376922131";"1.44649407688719e-15"
"4";"Overall.file.decorastors.2";"0.340564063889223";"8.77708055567405e-17"
