"Form";"Complexity.name";"Statistics";"p.value"
"1";"Cycl..Number";"0.785204317180052";"3.58178767620457e-09"
"1";"Cycl..Density";"0.877479214888515";"2.55167349428983e-06"
"1";"Halstead.Bugs";"0.604821842131626";"5.43585894816162e-13"
"1";"Halstead.Difficulty";"0.669939624059067";"8.7434851595949e-12"
"1";"Halstead.Effort";"0.389652975323028";"3.55255466869585e-16"
"1";"Halstead.Length";"0.643999266487183";"2.77212391531652e-12"
"1";"Halstead.Time";"0.389652976738844";"3.55255481613553e-16"
"1";"Halstead.Vocabulary";"0.8314425811383";"7.30413724659003e-08"
"1";"Halstead.Volume";"0.604905602923971";"5.45415205834369e-13"
"1";"Halstead.Identifiers.Distinct";"0.810024155658096";"1.70686267874511e-08"
"1";"Halstead.Identifiers.Total";"0.624282685603401";"1.20302329712678e-12"
"1";"Halstead.Identifiers.Distinct.1";"0.909117324846831";"4.65557164333503e-05"
"1";"Halstead.Identifiers.Total.1";"0.666955637398197";"7.63746213707759e-12"
"1";"LOC.Physical";"0.751867166233384";"5.22902894981526e-10"
"1";"LOC.Logical";"0.718191390143529";"8.83698385164368e-11"
"1";"Overall.file.decorastors.2";"0.340564063889223";"8.77708055567405e-17"
"2";"Cycl..Number";"0.778313803158238";"2.37031451000298e-09"
"2";"Cycl..Density";"0.934572782622111";"0.000711639175180674"
"2";"Halstead.Bugs";"0.613118389190868";"7.60078501014515e-13"
"2";"Halstead.Difficulty";"0.643755075644308";"2.74307739946111e-12"
"2";"Halstead.Effort";"0.385762382633056";"3.17049355789698e-16"
"2";"Halstead.Length";"0.650668433521519";"3.70340923333032e-12"
"2";"Halstead.Time";"0.38576238109114";"3.17049341526401e-16"
"2";"Halstead.Vocabulary";"0.826990362467839";"5.35079724749675e-08"
"2";"Halstead.Volume";"0.613179838150013";"7.61982371990366e-13"
"2";"Halstead.Identifiers.Distinct";"0.814740277259827";"2.32955017755427e-08"
"2";"Halstead.Identifiers.Total";"0.628522256576571";"1.43578061734343e-12"
"2";"Halstead.Identifiers.Distinct.1";"0.871948953585387";"1.60465616381264e-06"
"2";"Halstead.Identifiers.Total.1";"0.676977683574146";"1.20692400448701e-11"
"2";"LOC.Physical";"0.762191716882354";"9.31022547660516e-10"
"2";"LOC.Logical";"0.736199141819821";"2.24404056792812e-10"
"2";"Overall.file.decorastors.2";"0.340564063889223";"8.77708055567405e-17"
"3";"Cycl..Number";"0.778313803158238";"2.37031451000298e-09"
"3";"Cycl..Density";"0.859566999286293";"5.91073297757468e-07"
"3";"Halstead.Bugs";"0.609844986289957";"6.65512194759528e-13"
"3";"Halstead.Difficulty";"0.662894439329512";"6.36194617575417e-12"
"3";"Halstead.Effort";"0.387293948356902";"3.31551862164651e-16"
"3";"Halstead.Length";"0.649477251465034";"3.51570927523348e-12"
"3";"Halstead.Time";"0.387293949334965";"3.31551871643383e-16"
"3";"Halstead.Vocabulary";"0.83305003949442";"8.18276160355991e-08"
"3";"Halstead.Volume";"0.60992967666501";"6.67797232319901e-13"
"3";"Halstead.Identifiers.Distinct";"0.812771070196236";"2.04462708682598e-08"
"3";"Halstead.Identifiers.Total";"0.627752298662911";"1.39024815356977e-12"
"3";"Halstead.Identifiers.Distinct.1";"0.908856694077083";"4.53650831136745e-05"
"3";"Halstead.Identifiers.Total.1";"0.675282545191552";"1.1162758067799e-11"
"3";"LOC.Physical";"0.752667607636159";"5.46508636228292e-10"
"3";"LOC.Logical";"0.734272187912163";"2.02701241666153e-10"
"3";"Overall.file.decorastors.2";"0.340564063889223";"8.77708055567405e-17"
"4";"Cycl..Number";"0.778313803158238";"2.37031451000298e-09"
"4";"Cycl..Density";"0.860569627761959";"6.39619522322571e-07"
"4";"Halstead.Bugs";"0.610641946993763";"6.8734241103826e-13"
"4";"Halstead.Difficulty";"0.664460427941266";"6.82514934772809e-12"
"4";"Halstead.Effort";"0.387820128995557";"3.36692308864304e-16"
"4";"Halstead.Length";"0.650671125848931";"3.70384514535206e-12"
"4";"Halstead.Time";"0.387820130795156";"3.36692326586437e-16"
"4";"Halstead.Vocabulary";"0.832563825171809";"7.90584224500057e-08"
"4";"Halstead.Volume";"0.610727205332805";"6.89721682069783e-13"
"4";"Halstead.Identifiers.Distinct";"0.812187401284206";"1.96739853784511e-08"
"4";"Halstead.Identifiers.Total";"0.628491532648289";"1.4339341894681e-12"
"4";"Halstead.Identifiers.Distinct.1";"0.908856694077083";"4.53650831136745e-05"
"4";"Halstead.Identifiers.Total.1";"0.677090340306512";"1.21321496386556e-11"
"4";"LOC.Physical";"0.751995990641536";"5.26628680059766e-10"
"4";"LOC.Logical";"0.736085610400302";"2.23060214615639e-10"
"4";"Overall.file.decorastors.2";"0.340564063889223";"8.77708055567405e-17"
