Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\effects\app.effects.ts;0;2,75;7,432;0,052;2,095;1314,711;28,25;73,04;11,75;156,917;9,25;15,5;;2,5;12,75;;3,25;9,25;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\decoratorsVariationPointManagement\decorator-types.service.ts;0;1,0;4,762;0,008;0,529;184,148;5,2;10,23;1,467;23,189;1,133;3,6;;0,333;1,6;;2,067;1,4;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\decoratorsVariationPointManagement\service-to-skip.service.ts;0;1,0;50,0;0,001;0,25;1,189;1,5;0,066;1,5;2,377;1,0;1,0;;0,5;0,5;;2,5;1,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\designPatternsModels\decorator.ts;0;1,0;0,0;0,003;0,0;0,0;4,0;0,0;4,0;8,0;4,0;4,0;;0,0;0,0;;5,0;0,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\feature-config-loader.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\feature-config-loader.service.ts;0;2,8;11,2;0,049;4,744;3455,591;25,2;191,977;11,0;145,69;6,4;13,2;;4,6;12,0;;7,8;5,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\feature-config.ts;0;1,0;0,556;1,15;13,292;45865,366;549,0;2548,076;78,0;3450,686;72,0;319,0;;6,0;230,0;;225,0;180,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\management-services\menu-manager.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\management-services\menu-manager.service.ts;0;2,091;2,581;0,077;4,265;10774,345;40,091;598,575;4,818;229,638;3,364;19,727;;1,455;20,364;;9,091;7,364;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\puzzle-algorithm-manager.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\puzzle-algorithm-manager.service.ts;0;2,0;6,25;0,088;3,929;4147,601;45,25;230,422;14,25;263,938;10,5;22,0;;3,75;23,25;;13,0;8,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\variable-settings-config.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\variable-settings-config.service.ts;0;3,0;3,093;0,094;3,964;10009,959;45,333;556,109;8,111;280,605;6,111;24,222;;2,0;21,111;;12,333;10,778;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\zoom-settings-config.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\services\zoom-settings-config.service.ts;0;1,438;1,843;0,049;1,51;3522,117;23,188;195,673;4,875;145,743;3,938;12,688;;0,938;10,5;;5,188;4,875;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\tree-manager.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\tree-manager.service.ts;0;1,0;3,03;0,137;3,387;2787,898;79,0;154,883;18,5;411,547;15,5;35,0;;3,0;44,0;;14,5;16,5;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\utils\annotation-extractor.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\utils\annotation-extractor.service.ts;0;3,0;7,5;0,056;4,8;4879,023;30,333;271,057;8,0;169,411;5,0;16,0;;3,0;14,333;;9,333;6,667;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\utils\component-factory.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\utils\component-factory.service.ts;0;2,0;11,111;0,055;4,494;2224,172;31,0;123,565;13,333;164,98;9,0;18,667;;4,333;12,333;;18,0;6,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\utils\fabric-menu-helper.service.spec.ts;0;1,0;8,333;0,011;1,0;133,438;8,0;7,413;4,5;33,359;3,0;4,0;;1,5;4,0;;3,25;3,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\featureManagement\utils\fabric-menu-helper.service.ts;0;1,0;50,0;0,001;0,25;1,189;1,5;0,066;1,5;2,377;1,0;1,0;;0,5;0,5;;2,5;1,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\game-configuration\game-configuration.component.spec.ts;0;1,0;5,0;0,017;1,244;321,719;11,0;17,873;5,2;51,705;3,6;5,6;;1,6;5,4;;4,2;4,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\game-configuration\game-configuration.component.ts;0;27,5;7,088;0,723;25,18;218552,64;346,25;12141,813;19,25;2169,875;15,25;192,0;;4,0;154,25;;19,5;97,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\material\material.module.ts;0;8,0;29,63;0,301;7,547;6811,844;151,0;378,436;63,0;902,569;53,0;80,0;;10,0;71,0;;67,0;27,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\mockups\gallery.mock.ts;0;8,0;8,889;0,671;13,106;26367,201;322,0;1464,844;76,0;2011,833;66,0;173,0;;10,0;149,0;;119,0;90,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\mockups\puzzle.mock.ts;0;8,0;29,63;0,16;8,5;4086,826;93,0;227,046;36,0;480,803;27,0;51,0;;9,0;42,0;;8,0;27,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\mockups\routing-all.mock.ts;0;45,0;24,194;1,339;42,381;170217,671;639,0;9456,537;78,0;4016,372;63,0;356,0;;15,0;283,0;;65,0;186,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\mockups\routing.mock.ts;0;22,0;13,415;0,556;21,193;70636,873;281,0;3924,271;30,5;1666,537;24,0;156,5;;6,5;124,5;;28,5;82,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\models\algorithmMap.ts;0;8,0;30,769;0,193;4,756;2747,489;104,0;152,638;47,0;577,677;41,0;65,0;;6,0;39,0;;13,0;26,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\models\defaultTemplates.ts;0;8,0;30,769;0,168;5,344;2692,187;96,0;149,566;38,0;503,801;32,0;57,0;;6,0;39,0;;15,0;26,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\models\extendedPuzzle.ts;0;8,0;30,769;0,174;5,206;2715,122;98,0;150,84;40,0;521,549;34,0;59,0;;6,0;39,0;;15,0;26,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\models\point.ts;0;8,0;30,769;0,154;5,571;2579,344;91,0;143,297;34,0;462,959;28,0;52,0;;6,0;39,0;;10,0;26,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\models\polygon.ts;0;8,0;30,769;0,177;5,143;2727,759;99,0;151,542;41,0;530,398;35,0;60,0;;6,0;39,0;;19,0;26,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\models\routingModel.ts;0;8,0;30,769;0,163;5,323;2606,407;94,0;144,8;37,0;489,689;31,0;55,0;;6,0;39,0;;13,0;26,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\models\zoomManagementInterface.ts;0;8,0;30,769;0,157;5,483;2587,281;92,0;143,738;35,0;471,894;29,0;53,0;;6,0;39,0;;9,0;26,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\pages\app-component\app.component.spec.ts;0;1,0;3,125;0,033;1,306;764,813;18,333;42,49;6,667;97,569;5,167;9,0;;1,5;9,333;;5,333;5,333;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\pages\app-component\app.component.ts;0;9,0;16,364;0,166;5,984;5966,555;95,0;331,475;19,0;498,553;15,5;53,0;;3,5;42,0;;6,0;27,5;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\puzzle-builder\components\drag-and-drop-image\drag-and-drop-image.component.spec.ts;0;1,0;5,0;0,017;1,244;321,719;11,0;17,873;5,2;51,705;3,6;5,6;;1,6;5,4;;4,2;4,0;
FILE: E:\aspects\cyclomaticComplexityAnalysisStudy\ProductLineHierarchic\src\app\puzzle-builder\components\drag-and-drop-image\drag-and-drop-image.component.ts;0;2,25;2,557;0,062;1,89;4225,612;27,917;234,756;8,5;186,272;6,75;14,583;;1,75;13,333;;6,083;7,333;
